temperature,humidity,pressure,gas,altitude,xg,yg,zg,mic,emf,light,ain,vMic,vEmf,vLight,vAin,us_raw,us_compensated,time_of_flight,status,,,,,
30.731052,15.76679448,100,418,53.421112,0.019531,-0.007812,1.001953,9,686,709,202,0.027,2.058,2.127,0.606,2413,1964.230713,10154294.03,Not Cooking,,,,,
30.73608,17.31647287,100,417,53.504505,0.021484,-0.011719,1.001953,9,687,640,203,0.027,2.061,1.92,0.609,2244,1964.307617,10154294.03,Not Cooking,,,,,
30.74111,13.9356645,100,410,53.588406,0.015625,-0.005859,1.007812,7,687,706,203,0.021,2.061,2.118,0.609,2067,1960.91748,10136826.78,Not Cooking,,,,,
30.746769,14.81106869,100,398,53.588406,0.019531,-0.009766,1.015625,8,685,667,201,0.024,2.055,2.001,0.603,2237,1964.328979,10154294.03,Not Cooking,,,,,
30.749283,13.67415091,100,379,53.672306,0.023438,-0.005859,0.996094,8,686,694,202,0.024,2.058,2.082,0.606,2079,1972.113525,10195050.95,Not Cooking,,,,,
30.753368,16.29538802,100,358,53.672306,0.03125,-0.009766,0.994141,8,688,688,203,0.024,2.064,2.064,0.609,2415,1960.511597,10136826.78,Not Cooking,,,,,
30.755569,15.44787847,100,348,53.588406,0.023438,0,1.015625,8,685,663,204,0.024,2.055,1.989,0.612,2103,1963.70752,10154294.03,Not Cooking,,,,,
30.758398,13.17651424,100,341,53.504505,0.03125,-0.009766,1.005859,8,686,707,201,0.024,2.058,2.121,0.603,1892,1960.153442,10136826.78,Not Cooking,,,,,
30.762798,16.5104968,100,334,53.421112,0.021484,-0.015625,1.007812,7,686,641,203,0.021,2.058,1.923,0.609,2226,1960.120728,10136826.78,Not Cooking,,,,,
30.767513,15.04374051,100,335,53.421112,0.021484,-0.009766,1.005859,9,687,704,202,0.027,2.061,2.112,0.606,2177,1960.11853,10136826.78,Not Cooking,,,,,
30.775997,16.63292863,100,332,53.421112,0.025391,0.001953,1,8,685,671,201,0.024,2.055,2.013,0.603,1938,1960.264404,10136826.78,Not Cooking,,,,,
30.781027,15.90954439,100,336,53.337723,0.015625,-0.005859,1.015625,7,686,703,201,0.021,2.058,2.109,0.603,2096,1968.339722,10177583.7,Not Cooking,,,,,
30.786686,14.20229504,100,342,53.337723,0.021484,-0.013672,1.013672,9,688,697,203,0.027,2.064,2.091,0.609,2224,1964.0177,10154294.03,Not Cooking,,,,,
30.790771,17.04869946,100,355,53.253822,0.011719,-0.011719,1,9,686,674,202,0.027,2.058,2.022,0.606,1974,1964.293579,10154294.03,Not Cooking,,,,,
30.792658,14.83186277,100,367,53.337723,0.015625,-0.011719,0.998047,9,686,707,202,0.027,2.058,2.121,0.606,2034,1972.453735,10195050.95,Not Cooking,,,,,
